cpuwithoverprovisioning|version|memorytotal|zoneid|cpunumber|managementserverid|lastpinged|memoryused|id|networkkbswrite|suitableformigration|clusterid|capabilities|state|memoryallocated|cpuused|cpuspeed|type|events|zonename|podid|clustertype|hahost|cpuallocated|ipaddress|name|networkkbsread|created|clustername|hypervisor|islocalstorageactive|resourcestate|hosttags|podname
166400.0|3.0.4.20120717230217|134345203776|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|36387336|6e35f2b3-24be-416f-bc0d-db0572e0105c|0|False|9fb756c4-ac51-4708-9dd9-5c6f98083628|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|34359738368|1.27%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|50%|192.168.14.231|xs231.gdcloud.com|253|2013-11-13T11:49:41+0800|z3p1c4|XenServer|False|Enabled|xs231|信息系统-POD1
166400.0|3.0.4.20120717230217|134345203776|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|70217492|2766bf16-f174-45d5-83e5-e243294473a9|240|False|9fb756c4-ac51-4708-9dd9-5c6f98083628|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|68719476736|0.28%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|100%|192.168.14.232|xs232.gdcloud.com|247|2013-11-13T11:53:21+0800|z3p1c4|XenServer|False|Enabled|xs232|信息系统-POD1
166400.0|3.0.4.20120717230217|134345203776|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|104051896|47857fc0-b94d-4da8-9aaf-06dd08eda771|0|False|9fb756c4-ac51-4708-9dd9-5c6f98083628|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|103079215104|0.28%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|150%|192.168.14.233|xs233.gdcloud.com|254|2013-11-13T11:57:15+0800|z3p1c4|XenServer|False|Enabled|xs233|信息系统-POD1
166400.0|3.0.4.20120717230217|134345203776|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|121102388|a3e7c2e1-87f5-41f4-be23-1ae1f03fd783|0|False|9fb756c4-ac51-4708-9dd9-5c6f98083628|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|120393302016|0.57%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|175.6%|192.168.14.234|xs234.gdcloud.com|255|2013-11-13T11:59:57+0800|z3p1c4|XenServer|False|Enabled|xs234|信息系统-POD1
166400.0|3.0.4.20120717230217|134344224000|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|78676360|6b41acee-919a-4af7-8c72-94748ddf5673|0|False|9fb756c4-ac51-4708-9dd9-5c6f98083628|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|77309411328|0.35%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|112.5%|192.168.14.235|xs235.gdcloud.com|255|2013-11-13T12:01:47+0800|z3p1c4|XenServer|False|Enabled|xs235|信息系统-POD1
166400.0|3.0.4.20120717230217|134343086976|81e63956-ff38-4ea5-a043-b859ceac0f19|32|266905390586919|1970-01-16T23:30:52+0700|19470560|ed8acd1b-add6-49cc-9bc5-d7abdb4153b9|95|False|9fb756c4-ac51-4708-9dd9-5c6f98083628|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|17179869184|0.26%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|信息系统域|1013b3d4-d803-420c-b377-d61ba2afa2a8|CloudManaged|False|25%|192.168.14.236|xs236.gdcloud.com|336|2013-11-14T12:03:30+0800|z3p1c4|XenServer|False|Enabled|xs236.gdcloud.com|信息系统-POD1
166400.0|3.0.4.20120717230217|134344224000|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:30:52+0700|44968224|1c5c8c2d-38bc-4079-a76d-a7706f7bfd1e|0|False|30d04a9d-5a49-46aa-9d30-9b29410f2000|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|43083890688|0.2%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|d3872749-5b1d-47c3-a6e8-70d30d7abf9a|CloudManaged|False|38.1%|192.168.11.25|xs227.gdcloud.com|272|2013-11-20T16:33:05+0800|khjtz2p1c2|XenServer|False|Enabled|xs227|生产系统-POD
166400.0|3.0.4.20120717230217|134343086976|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:30:52+0700|28439256|d3cb6e25-e100-4890-9d74-7a0defec1ff6|1930609|False|30d04a9d-5a49-46aa-9d30-9b29410f2000|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|26294091776|0.87%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|d3872749-5b1d-47c3-a6e8-70d30d7abf9a|CloudManaged|False|28.12%|192.168.11.26|xs228.gdcloud.com|1981849|2013-11-22T14:44:01+0800|khjtz2p1c2|XenServer|False|Enabled|xs228|生产系统-POD
166400.0|3.0.4.20120717230217|134355017664|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-16T23:30:52+0700|48424536|99b5cd02-19e8-4f6a-b405-a4d82fcd180d|0|False|6baa5e86-0893-42b6-a88f-cc14ff9587eb|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|46573551616|3.87%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|d3872749-5b1d-47c3-a6e8-70d30d7abf9a|CloudManaged|False|87.02%|192.168.11.16|xs06.gdcloud.com|918|2013-12-18T14:02:22+0800|生产系统集群|XenServer|False|Enabled|xs06|生产系统-POD
166400.0|3.0.4.20120717230217|134349981696|8e19be3a-c953-4dec-aa74-857226de927c|32|266905390586919|1970-01-17T00:01:18+0700|70718396|1385b1d8-ba9b-4e76-81f3-c8bec66a755b|0|False|30d04a9d-5a49-46aa-9d30-9b29410f2000|xen-3.0-x86_64 , xen-3.0-x86_32p , hvm-3.0-x86_32 , hvm-3.0-x86_32p , hvm-3.0-x86_64|Up|69243764736|0.84%|2600|Routing|Remove; HostDown; AgentDisconnected; PingTimeout; ManagementServerDown; Ping; ShutdownRequested; AgentConnected; StartAgentRebalance|生产系统资源域|d3872749-5b1d-47c3-a6e8-70d30d7abf9a|CloudManaged|False|53.12%|192.168.11.27|xs229|251|2014-01-16T14:26:43+0800|khjtz2p1c2|XenServer|False|Enabled|xs229|生产系统-POD
