mailman_lists,tcp,yes,yes,Mailinglist %s
mbg_lantime_refclock,snmp,yes,yes,LANTIME Refclock
mbg_lantime_state,snmp,yes,yes,LANTIME State
mcdata_fcport,snmp,yes,yes,Port %s
md,tcp,no,yes,MD Softraid %s
megaraid_bbu,tcp,no,yes,RAID Adapter/BBU %s
megaraid_ldisks,tcp,yes,yes,RAID Adapter/LDisk %s
megaraid_pdisks,tcp,yes,yes,RAID PDisk Adapt/Enc/Sl %s
mem.used,tcp,yes,yes,Memory used
mem.vmalloc,tcp,yes,yes,Vmalloc address space
mem.win,tcp,yes,yes,Memory and pagefile
mounts,tcp,no,yes,Mount options of %s
mq_queues,tcp,yes,yes,Queue %s
mrpe,tcp,yes,yes,%s
mssql_backup,tcp,yes,yes,%s Backup
mssql_counters.cache_hits,tcp,yes,yes,%s
mssql_counters.file_sizes,tcp,yes,yes,%s File Sizes
mssql_counters.locks,tcp,yes,yes,%s Locks
mssql_counters.transactions,tcp,yes,yes,%s Transactions
mssql_tablespaces,tcp,yes,yes,%s Sizes
mssql_versions,tcp,no,yes,%s Version
multipath,tcp,no,yes,Multipath %s
mysql.connections,tcp,no,yes,MySQL Daemon Connections
mysql.innodb_io,tcp,yes,yes,MySQL Daemon InnoDB IO
mysql.sessions,tcp,yes,yes,MySQL Daemon Sessions
mysql_capacity,tcp,yes,yes,MySQL DB %s Size
netapp_cluster,snmp,no,yes,metrocluster_w_%s
netapp_cpu,snmp,yes,yes,CPU utilization
netapp_fcpio,snmp,yes,yes,FCP I/O
netapp_vfiler,snmp,no,yes,vFiler Status %s
netapp_volumes,snmp,no,yes,NetApp Vol %s
netctr.combined,tcp,yes,yes,NIC %s counters
netif.link,tcp,no,yes,NIC %s link
netif.params,tcp,no,yes,NIC %s parameter
nfsexports,tcp,no,yes,NFS export %s
nfsmounts,tcp,no,yes,NFS mount %s
ntp,tcp,yes,yes,NTP Peer %s
ntp.time,tcp,yes,yes,NTP Time
nvidia.errors,tcp,no,yes,NVIDIA GPU Errors
nvidia.temp,tcp,yes,yes,Temperature NVIDIA %s
omd_status,tcp,no,yes,OMD %s status
openvpn_clients,tcp,yes,yes,OpenVPN Client %s
oracle_asm_diskgroup,tcp,yes,yes,ASM Diskgroup %s
oracle_jobs,tcp,yes,yes,ORA %s Job
oracle_logswitches,tcp,yes,yes,ORA %s Logswitches
oracle_rman_backups,tcp,no,yes,ORA %s RMAN Backup
oracle_sessions,tcp,yes,yes,ORA %s Sessions
oracle_tablespaces,tcp,yes,yes,ORA %s Tablespace
oracle_version,tcp,no,yes,ORA Version %s
ovs_bonding,tcp,no,yes,Bonding Interface %s
pdu_gude_8301,snmp,yes,yes,Phase %s
pdu_gude_8310,snmp,yes,yes,Phase %s
plesk_backups,tcp,yes,yes,Plesk Backup %s
plesk_domains,tcp,no,yes,Plesk Domains
postfix_mailq,tcp,yes,yes,Postfix Queue
postgres_sessions,tcp,yes,yes,PostgreSQL Daemon Sessions
postgres_stat_database,tcp,yes,yes,PostgreSQL DB %s Statistics
postgres_stat_database.size,tcp,yes,yes,PostgreSQL DB %s Size
printer_alerts,snmp,no,yes,Alerts
printer_pages,snmp,yes,yes,Pages %s
printer_supply,snmp,yes,yes,Supply %s
printer_supply_ricoh,snmp,yes,yes,Supply %s
ps,tcp,no,yes,proc_%s
ps.perf,tcp,yes,yes,proc_%s
qmail_stats,tcp,yes,yes,Qmail Queue
qnap_disks,snmp,no,yes,Disk %s
raritan_emx,snmp,yes,yes,Rack %s
sap.dialog,tcp,yes,yes,%s Dialog
sap.value,tcp,yes,yes,%s
sensatronics_temp,snmp,yes,yes,Temperature %s
services,tcp,no,yes,service_%s
smart.stats,tcp,yes,yes,SMART %s Stats
smart.temp,tcp,no,yes,SMART drive %s
smbios_sel,tcp,no,yes,SMBIOS Event Log
sni_octopuse_cpu,snmp,yes,yes,CPU utilization
sni_octopuse_status,snmp,yes,yes,Global status
sni_octopuse_trunks,snmp,no,yes,Trunk Port %s
snia_sml,tcp,no,no,%s
snmp_info,snmp,no,yes,SNMP Info
snmp_uptime,snmp,yes,yes,Uptime
solaris_mem,tcp,yes,yes,Memory used
solaris_multipath,tcp,no,yes,Multipath %s
statgrab_cpu,tcp,yes,yes,CPU utilization
statgrab_disk,tcp,yes,yes,Disk IO %s
statgrab_load,tcp,yes,yes,CPU load
statgrab_mem,tcp,yes,yes,Memory used
statgrab_net.ctr,tcp,yes,yes,NIC %s counters
statgrab_net.link,tcp,no,yes,NIC %s link
statgrab_net.params,tcp,no,yes,NIC %s parameter
steelhead_connections,snmp,yes,yes,Connections
steelhead_peers,snmp,no,yes,Peer %s
steelhead_status,snmp,no,yes,Status
strem1_sensors,snmp,yes,yes,Sensor - %s
superstack3_sensors,snmp,no,yes,%s
sylo,tcp,yes,yes,Sylo
sym_brightmail_queues,snmp,no,yes,Queue %s
systemtime,tcp,yes,yes,System Time
tcp_conn_stats,tcp,yes,yes,TCP Connections
tsm_drives,tcp,no,yes,TSM Drive %s
tsm_paths,tcp,no,yes,TSM Paths
tsm_scratch,tcp,no,yes,Scratch Pool %s
tsm_sessions,tcp,no,yes,tsm_sessions
tsm_stagingpools,tcp,yes,yes,TSM Stagingpool %s
tsm_storagepools,tcp,yes,yes,TSM Storagepool %s
ucd_cpu_load,snmp,yes,yes,CPU load
ucd_cpu_util,snmp,yes,yes,CPU utilization
ups_bat_temp,snmp,yes,yes,Temperature Battery
ups_capacity,snmp,yes,yes,Battery capacity
ups_eaton_enviroment,snmp,yes,yes,Enviroment
ups_in_freq,snmp,yes,yes,IN frequency phase %s
ups_in_voltage,snmp,yes,yes,IN voltage phase %s
ups_out_load,snmp,yes,yes,OUT load phase %s
ups_out_voltage,snmp,yes,yes,OUT voltage phase %s
ups_power,snmp,yes,yes,Power phase %s
ups_test,snmp,no,yes,Self Test
uptime,tcp,yes,yes,Uptime
vbox_guest,tcp,no,yes,VBox Guest Additions
viprinet_firmware,snmp,no,yes,Firmware Version
viprinet_mem,snmp,no,yes,Memory
viprinet_power,snmp,no,yes,Power-Supply
viprinet_router,snmp,no,yes,Router Mode
viprinet_serial,snmp,no,yes,Serial Number
viprinet_temp,snmp,yes,yes,Temperature %s
vms_cpu,tcp,yes,yes,CPU utilization
vms_diskstat.df,tcp,yes,yes,fs_%s
