+-----+--------------------------+---------+--------------+--------------------------------------+-----------------------------------+----------------+----------+-----------+--------+
|  id | created                  | state   | instancename | name                                 | displayname                       | account        | haenable | cpunumber | memory |
|  53 | 2013-09-06T15:04:30+0800 | Running | i-15-1854-VM | gdupc-ftp                            | gdupc-ftp                         | gdupc          |  False   |     4     | 4.0GB  |
|  54 | 2013-09-02T10:03:54+0800 | Running | i-18-1853-VM | SAPBW                                | SAPBW                             | isinternal     |  False   |     8     | 16.0GB |
|  55 | 2013-09-02T09:59:25+0800 | Running | i-18-1852-VM | SAPBO                                | SAPBO                             | isinternal     |  False   |     8     | 16.0GB |
|  56 | 2013-08-23T14:34:35+0800 | Running | i-14-1846-VM | SRMQAS                               | SRMQAS                            | erp            |  False   |     8     | 16.0GB |
|  57 | 2013-08-23T13:31:11+0800 | Running | i-14-1845-VM | ERPQAS                               | ERPQAS                            | erp            |  False   |     8     | 16.0GB |
|  58 | 2013-08-21T14:11:01+0800 | Running | i-18-1844-VM | GDHR-EP                              | GDHR-EP                           | isinternal     |  False   |     8     | 16.0GB |
|  59 | 2013-08-13T10:42:29+0800 | Running | i-14-1841-VM | EPC-DEMO                             | EPC-DEMO                          | erp            |  False   |     16    | 32.0GB |
|  60 | 2013-08-13T09:47:12+0800 | Running | i-18-1840-VM | SAPHCMT                              | SAPHCMT                           | isinternal     |  False   |     16    | 32.0GB |
|  61 | 2013-08-08T14:20:32+0800 | Stopped | i-17-1838-VM | DC2                                  | stop-tmp-DC2                      | xenvip         |   True   |     6     | 8.0GB  |
|  62 | 2013-08-06T10:00:13+0800 | Stopped | i-17-1832-VM | AD                                   | stop-tmp-AD                       | xenvip         |   True   |     6     | 8.0GB  |
|  63 | 2013-08-05T13:40:04+0800 | Stopped | i-19-1831-VM | HD-WEB                               | stoptmp-HD-WEB                    | dianzhan       |   True   |     4     | 7.9GB  |
|  64 | 2013-08-02T18:04:11+0800 | Running | i-18-1829-VM | ERP-HCM-DEV                          | ERP-HCM-DEV                       | isinternal     |  False   |     16    | 32.0GB |
|  65 | 2013-08-02T17:48:58+0800 | Running | i-18-1828-VM | filemanage                           | filemanage                        | isinternal     |  False   |     8     | 16.0GB |
|  66 | 2013-07-26T11:00:47+0800 | Running | i-15-1827-VM | data-transmit1                       | data-transmit1                    | gdupc          |  False   |     4     | 8.0GB  |
|  67 | 2013-07-25T17:10:07+0800 | Running | i-15-1825-VM | SJZX34                               | sjzx34                            | gdupc          |  False   |     2     | 4.0GB  |
|  68 | 2013-07-25T17:09:23+0800 | Running | i-15-1824-VM | SJZX33                               | (no)SJZX33                        | gdupc          |  False   |     2     | 4.0GB  |
|  69 | 2013-07-25T16:26:22+0800 | Running | i-15-1823-VM | SJZX32                               | (no)SJZX32                        | gdupc          |  False   |     2     | 4.0GB  |
|  70 | 2013-07-25T16:25:19+0800 | Running | i-15-1822-VM | SJZX31                               | (no)SJZX31                        | gdupc          |  False   |     2     | 4.0GB  |
|  71 | 2013-07-25T16:10:08+0800 | Running | i-15-1821-VM | SJZX30                               | (no)SJZX30                        | gdupc          |  False   |     2     | 4.0GB  |
|  72 | 2013-07-24T14:41:48+0800 | Running | i-16-1819-VM | test01-1month                        | 风电场生产管理系统                | jituanoamis    |  False   |     4     | 4.0GB  |
|  73 | 2013-07-23T17:39:59+0800 | Running | i-19-1817-VM | HD-TREN                              | HD-TREN                           | dianzhan       |   True   |     2     | 4.0GB  |
|  74 | 2013-07-16T12:45:43+0800 | Running | i-14-1816-VM | SAPPIT                               | SAPPIT                            | erp            |  False   |     8     | 16.0GB |
|  75 | 2013-07-16T12:32:37+0800 | Running | i-14-1815-VM | SAPPT                                | SAPPT                             | erp            |  False   |     8     | 16.0GB |
|  76 | 2013-07-16T10:33:10+0800 | Running | i-14-1814-VM | SAPERPT                              | SAPERPT                           | erp            |  False   |     8     | 16.0GB |
|  77 | 2013-07-16T10:11:28+0800 | Running | i-14-1813-VM | SAPSRMT                              | SAPSRMT                           | erp            |  False   |     8     | 16.0GB |
|  78 | 2013-07-15T14:23:41+0800 | Running | i-14-1812-VM | SAPPI                                | SAPPI                             | erp            |  False   |     4     | 8.0GB  |
|  79 | 2013-07-11T10:51:05+0800 | Running | i-14-1809-VM | saped                                | saped                             | erp            |  False   |     8     | 16.0GB |
|  80 | 2013-07-11T09:39:43+0800 | Running | i-14-1808-VM | SAPSD                                | SAPSD                             | erp            |  False   |     8     | 32.0GB |
|  81 | 2013-07-08T16:31:00+0800 | Running | i-10-1807-VM | webportal                            | webportal                         | dangyuanzhijia |  False   |     6     | 8.0GB  |
|  82 | 2014-05-27T15:47:07+0800 | Running | i-7-2185-VM  | juxian-file-upload                   | juxian-file-upload                | fengce         |   True   |     4     | 4.0GB  |
|  83 | 2014-05-27T15:45:48+0800 | Running | i-7-2184-VM  | wulian-file-upload                   | wulian-file-upload                | fengce         |   True   |     4     | 4.0GB  |
|  84 | 2014-05-27T15:44:11+0800 | Running | i-7-2183-VM  | xinqu-file-upload                    | xinqu-file-upload                 | fengce         |   True   |     4     | 4.0GB  |
|  85 | 2014-05-27T15:42:16+0800 | Running | i-7-2182-VM  | juxian-data-collect                  | juxian-data-collect               | fengce         |  False   |     2     | 4.0GB  |
|  86 | 2014-05-27T15:40:48+0800 | Running | i-7-2181-VM  | wulian-data-collect                  | wulian-data-collect               | fengce         |  False   |     2     | 4.0GB  |
|  87 | 2014-05-27T15:38:58+0800 | Running | i-7-2180-VM  | xinqu-data-collect                   | xinqu-data-collect                | fengce         |  False   |     2     | 4.0GB  |
|  88 | 2013-06-21T16:18:00+0800 | Running | i-15-1797-VM | SJZX29                               | SJZX29                            | gdupc          |  False   |     2     | 4.0GB  |
|  89 | 2014-05-27T15:35:16+0800 | Running | i-7-2179-VM  | juxian-localpred                     | juxian-localpred                  | fengce         |   True   |     4     | 7.9GB  |
|  90 | 2014-05-27T15:24:40+0800 | Running | i-7-2178-VM  | xinqu-localpred                      | xinqu-localpred                   | fengce         |  False   |     4     | 8.0GB  |
|  91 | 2013-06-21T16:14:46+0800 | Running | i-15-1795-VM | SJZX27                               | SJZX27                            | gdupc          |  False   |     2     | 4.0GB  |
|  92 | 2014-05-27T15:22:18+0800 | Running | i-7-2177-VM  | wulian-localpred                     | wulian-localpred                  | fengce         |  False   |     4     | 8.0GB  |
|  93 | 2013-06-21T16:13:32+0800 | Running | i-15-1794-VM | SJZX26                               | SJZX26                            | gdupc          |  False   |     2     | 4.0GB  |
|  94 | 2013-06-21T16:03:32+0800 | Running | i-15-1793-VM | SJZX16                               | SJZX16                            | gdupc          |  False   |     4     | 4.0GB  |
|  95 | 2013-06-21T15:31:18+0800 | Running | i-15-1792-VM | SJZX15                               | SJZX15                            | gdupc          |  False   |     4     | 4.0GB  |
|  96 | 2013-06-21T10:51:27+0800 | Running | i-15-1791-VM | SJZX25                               | SJZX25                            | gdupc          |  False   |     2     | 4.0GB  |
|  97 | 2014-05-22T14:11:50+0800 | Running | i-10-2173-VM | M-test                               | tianren-vote                      | dangyuanzhijia |  False   |     4     | 8.0GB  |
|  98 | 2013-06-21T10:50:23+0800 | Running | i-15-1790-VM | SJZX24                               | SJZX24                            | gdupc          |  False   |     2     | 4.0GB  |
|  99 | 2013-06-21T10:49:25+0800 | Running | i-15-1789-VM | SJZX23                               | SJZX23                            | gdupc          |  False   |     4     | 8.0GB  |
| 100 | 2014-05-15T10:42:59+0800 | Running | i-13-2171-VM | RSYHCLOUD5                           | RSYHCLOUD5                        | ranshaoyouhua  |   True   |     4     | 4.0GB  |
| 101 | 2013-06-21T10:48:55+0800 | Running | i-15-1788-VM | SJZX22                               | SJZX22                            | gdupc          |  False   |     2     | 4.0GB  |
| 102 | 2014-05-12T14:55:00+0800 | Running | i-7-2170-VM  | wpfs-web-sdxny                       | wpfs-web-sdxny                    | fengce         |  False   |     4     | 16.0GB |
| 103 | 2013-06-21T10:32:18+0800 | Running | i-15-1787-VM | SJZX21                               | SJZX21                            | gdupc          |  False   |     4     | 4.0GB  |
| 104 | 2013-06-21T09:29:12+0800 | Running | i-15-1786-VM | SJZX20                               | SJZX20                            | gdupc          |  False   |     4     | 4.0GB  |
| 105 | 2013-06-21T09:28:35+0800 | Running | i-15-1785-VM | SJZX19                               | SJZX19                            | gdupc          |  False   |     4     | 4.0GB  |
| 106 | 2014-05-04T10:42:23+0800 | Stopped | i-24-2167-VM | caiwu-app01-win2008                  | caiwu-app01-win2008               | jituancaiwu    |   True   |     8     | 32.0GB |
| 107 | 2013-06-21T09:27:56+0800 | Running | i-15-1784-VM | SJZX18                               | SJZX18                            | gdupc          |  False   |     4     | 4.0GB  |
| 108 | 2014-04-30T11:31:47+0800 | Running | i-7-2166-VM  | beizhen-localpred2                   | jiaoqu-localpred2                 | fengce         |   True   |     2     | 4.0GB  |
| 109 | 2013-06-20T17:33:42+0800 | Running | i-15-1783-VM | SJZX17                               | SJZX17                            | gdupc          |  False   |     4     | 4.0GB  |
| 110 | 2014-04-28T15:42:40+0800 | Stopped | i-24-2164-VM | caiwu-test03                         | caiwu-test03                      | jituancaiwu    |   True   |     8     | 32.0GB |
| 111 | 2013-04-16T14:23:28+0800 | Running | i-15-1397-VM | modbus2                              | modbus2                           | gdupc          |   True   |     4     | 7.9GB  |
| 112 | 2013-06-17T13:49:49+0800 | Stopped | i-2-1780-VM  | digitalpw                            | (no)digitalpw                     | admin          |  False   |     2     | 4.0GB  |
| 113 | 2013-04-16T14:20:02+0800 | Running | i-15-1396-VM | modbus1                              | modbus1                           | gdupc          |  False   |     2     | 8.0GB  |
| 114 | 2013-06-17T10:44:46+0800 | Running | i-15-1779-VM | data-transmit                        | data-transmit                     | gdupc          |  False   |     4     | 4.0GB  |
| 115 | 2014-04-25T09:58:12+0800 | Running | i-19-2161-VM | HD-web                               | HD-web                            | dianzhan       |   True   |     4     | 7.9GB  |
| 116 | 2013-06-14T10:24:16+0800 | Stopped | i-18-1778-VM | mobilOA                              | (tetst)mobilOA                    | isinternal     |  False   |     4     | 4.0GB  |
| 117 | 2014-04-24T13:43:17+0800 | Stopped | i-24-2160-VM | caiwu-test02                         | caiwu-test02                      | jituancaiwu    |  False   |     2     | 4.0GB  |
| 118 | 2013-06-13T16:49:37+0800 | Running | i-16-1777-VM | vm001                                | oarelease-is                      | jituanoamis    |  False   |     4     | 6.0GB  |
| 119 | 2014-04-23T18:29:29+0800 | Running | i-17-2158-VM | gdupc-dangan-orcaledb                | hdtr-dangan-orcaledb              | xenvip         |   True   |     4     | 8.0GB  |
| 120 | 2014-04-23T16:51:32+0800 | Running | i-17-2157-VM | gdupcfile-server                     | hdtr-dangan-fileserver            | xenvip         |   True   |     4     | 8.0GB  |
| 121 | 2014-04-23T14:59:47+0800 | Stopped | i-24-2156-VM | caiwu-test1                          | caiwu-test1                       | jituancaiwu    |   True   |     4     | 12.0GB |
| 122 | 2014-04-11T17:07:14+0800 | Running | i-22-2154-VM | ERPWD2                               | ERPWD2                            | caigoupingtai  |  False   |     8     | 16.0GB |
| 123 | 2014-04-11T16:41:38+0800 | Running | i-22-2153-VM | ERPWD1                               | ERPWD1                            | caigoupingtai  |  False   |     8     | 16.0GB |
| 124 | 2013-06-07T13:04:42+0800 | Running | i-15-1770-VM | data-receive                         | data-receive                      | gdupc          |  False   |     4     | 4.0GB  |
| 125 | 2014-04-09T14:44:26+0800 | Running | i-15-2152-VM | gdzs-winddata                        | gdzs-winddata                     | gdupc          |  False   |     2     | 4.0GB  |
| 126 | 2014-04-08T18:36:30+0800 | Running | i-19-2151-VM | Taian-OA                             | Taian-OA                          | dianzhan       |   True   |     4     | 7.9GB  |
| 127 | 2013-06-07T11:49:06+0800 | Running | i-15-1768-VM | SJZX-14                              | SJZX-14                           | gdupc          |  False   |     4     | 4.0GB  |
| 128 | 2013-06-07T11:48:17+0800 | Running | i-15-1767-VM | SJZX-13                              | SJZX-13                           | gdupc          |  False   |     4     | 4.0GB  |
| 129 | 2013-06-07T11:47:28+0800 | Running | i-15-1766-VM | SJZX-12                              | SJZX-12                           | gdupc          |  False   |     2     | 4.0GB  |
| 130 | 2013-06-07T11:46:17+0800 | Running | i-15-1765-VM | SJZX-11                              | SJZX-11                           | gdupc          |  False   |     4     | 4.0GB  |
