-----SNMP query started-----
1: productType.0 pciBased(2)
2: productVersion.0 NetApp Release 8.1.1 7-Mode: Mon Jul 30 12:49:46 PDT 2012
3: productId.0 2014941127
4: productVendor.0 netapp(1)
5: productModel.0 FAS3240
6: productFirmwareVersion.0 5.1.1
7: productGuiUrl.0 https://:443/na_admin
8: productApiUrl.0 https://:443/servlets/netapp.servlets.admin.XMLrequest_filer
9: productSerialNum.0 850000223796
10: productPartnerSerialNum.0 unknown
11: productCPUArch.0 5
12: productTrapData.0 Trap variable currrently unused.
13: productMachineType.0 FAS3240
531: v3cRmdirs.0 588
532: v3cRenames.0 341
533: v3cLinks.0 0
534: v3cReaddirs.0 0
535: v3cReaddirPluss.0 12960
536: v3cFsstats.0 12690129
537: v3cFsinfos.0 3672
538: v3cPathconfs.0 33
539: v3cCommits.0 0
540: v3pNulls.0 0
541: v3pGetattrs.0 6
542: v3pSetattrs.0 0
543: v3pLookups.0 0
544: v3pAccesss.0 4
545: v3pReadlinks.0 0
546: v3pReads.0 19
547: v3pWrites.0 71
548: v3pCreates.0 0
549: v3pMkdirs.0 0
550: v3pSymlinks.0 0
551: v3pMknods.0 0
552: v3pRemoves.0 0
553: v3pRmdirs.0 0
554: v3pRenames.0 0
555: v3pLinks.0 0
556: v3pReaddirs.0 0
557: v3pReaddirPluss.0 0
558: v3pFsstats.0 0
559: v3pFsinfos.0 0
560: v3pPathconfs.0 0
561: v3pCommits.0 0
562: v3ccNulls.0 2878
563: v3ccGetattrs.0 6
564: v3ccSetattrs.0 0
565: v3ccLookups.0 0
566: v3ccAccesss.0 18
567: v3ccReadlinks.0 0
568: v3ccReads.0 0
569: v3ccWrites.0 0
570: v3ccCreates.0 0
571: v3ccMkdirs.0 0
572: v3ccSymlinks.0 0
573: v3ccMknods.0 0
574: v3ccRemoves.0 0
575: v3ccRmdirs.0 0
576: v3ccRenames.0 0
577: v3ccLinks.0 0
578: v3ccReaddirs.0 0
579: v3ccReaddirPluss.0 0
580: v3ccFsstats.0 1444
581: v3ccFsinfos.0 0
582: v3ccPathconfs.0 0
583: v3ccCommits.0 0
584: v3cpNulls.0 100
585: v3cpGetattrs.0 0
586: v3cpSetattrs.0 0
587: v3cpLookups.0 0
588: v3cpAccesss.0 0
589: v3cpReadlinks.0 0
590: v3cpReads.0 0
591: v3cpWrites.0 0
592: v3cpCreates.0 0
593: v3cpMkdirs.0 0
594: v3cpSymlinks.0 0
595: v3cpMknods.0 0
596: v3cpRemoves.0 0
597: v3cpRmdirs.0 0
598: v3cpRenames.0 0
599: v3cpLinks.0 0
600: v3cpReaddirs.0 0
601: v3cpReaddirPluss.0 0
602: v3cpFsstats.0 0
603: v3cpFsinfos.0 0
604: v3cpPathconfs.0 0
605: v3cpCommits.0 0
606: rcInProgressHits.0 0
607: rcDelayHits.0 0
608: rcMisses.0 2373196340
609: rcNonIdemDoneHits.0 0
610: rcNonIdemNotDoneHits.0 128
611: rcTcpInProgressHits.0 0
612: rcTcpDelayHits.0 0
613: rcTcpMisses.0 2373196357
614: rcTcpNonIdemDoneHits.0 0
615: rcTcpNonIdemNotDoneHits.0 128
616: rcUdpInProgressHits.0 0
617: rcUdpDelayHits.0 0
618: rcUdpMisses.0 0
619: rcUdpNonIdemDoneHits.0 0
620: rcUdpNonIdemNotDoneHits.0 0
621: v2Read512Calls.0 0
622: v2Read1KCalls.0 0
623: v2Read2KCalls.0 0
624: v2Read4KCalls.0 0
625: v2Read8KCalls.0 0
626: v2Read16KCalls.0 0
627: v2Read32KCalls.0 0
628: v2Read64KCalls.0 0
629: v2Read128KCalls.0 0
630: v2Write512Calls.0 0
631: v2Write1KCalls.0 0
632: v2Write2KCalls.0 0
633: v2Write4KCalls.0 0
634: v2Write8KCalls.0 0
635: v2Write16KCalls.0 0
636: v2Write32KCalls.0 0
637: v2Write64KCalls.0 0
638: v2Write128KCalls.0 0
639: v3Read512Calls.0 5305
640: v3Read1KCalls.0 324844948
641: v3Read2KCalls.0 207594958
642: v3Read4KCalls.0 34142472
