RFC1213-MIB::atIfIndex.1.1.192.168.11.18 = INTEGER: 9
RFC1213-MIB::atIfIndex.1.1.192.168.11.20 = INTEGER: 9
RFC1213-MIB::atIfIndex.1.1.192.168.11.25 = INTEGER: 9
RFC1213-MIB::atIfIndex.1.1.192.168.11.26 = INTEGER: 9
RFC1213-MIB::atIfIndex.1.1.192.168.11.27 = INTEGER: 9
RFC1213-MIB::atIfIndex.1.1.192.168.11.31 = INTEGER: 9
RFC1213-MIB::atIfIndex.1.1.192.168.11.253 = INTEGER: 9
RFC1213-MIB::atIfIndex.1.1.192.168.11.254 = INTEGER: 9
RFC1213-MIB::atPhysAddress.1.1.192.168.11.6 = Hex-STRING: 8E 35 C9 33 04 FF 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.9 = Hex-STRING: D4 AE 52 6F 9B 99 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.10 = Hex-STRING: 36 85 E4 8B 49 1D 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.14 = Hex-STRING: 90 E2 BA 24 66 84 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.15 = Hex-STRING: 90 E2 BA 24 68 08 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.16 = Hex-STRING: 90 E2 BA 24 63 20 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.18 = Hex-STRING: 90 E2 BA 2B B7 A0 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.20 = Hex-STRING: A0 36 9F 15 61 22 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.25 = Hex-STRING: 90 E2 BA 54 08 EC 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.26 = Hex-STRING: A0 36 9F 15 56 AC 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.27 = Hex-STRING: 90 E2 BA 20 D8 34 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.31 = Hex-STRING: 02 A0 98 3D 7E F4 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.253 = Hex-STRING: E8 E7 32 5B A1 DC 
RFC1213-MIB::atPhysAddress.1.1.192.168.11.254 = Hex-STRING: E8 E7 32 0E 66 29 
RFC1213-MIB::atNetAddress.1.1.192.168.11.6 = Network Address: C0:A8:0B:06
RFC1213-MIB::atNetAddress.1.1.192.168.11.9 = Network Address: C0:A8:0B:09
RFC1213-MIB::atNetAddress.1.1.192.168.11.10 = Network Address: C0:A8:0B:0A
RFC1213-MIB::atNetAddress.1.1.192.168.11.14 = Network Address: C0:A8:0B:0E
RFC1213-MIB::atNetAddress.1.1.192.168.11.15 = Network Address: C0:A8:0B:0F
RFC1213-MIB::atNetAddress.1.1.192.168.11.16 = Network Address: C0:A8:0B:10
RFC1213-MIB::atNetAddress.1.1.192.168.11.18 = Network Address: C0:A8:0B:12
RFC1213-MIB::atNetAddress.1.1.192.168.11.20 = Network Address: C0:A8:0B:14
RFC1213-MIB::atNetAddress.1.1.192.168.11.25 = Network Address: C0:A8:0B:19
RFC1213-MIB::atNetAddress.1.1.192.168.11.26 = Network Address: C0:A8:0B:1A
RFC1213-MIB::atNetAddress.1.1.192.168.11.27 = Network Address: C0:A8:0B:1B
RFC1213-MIB::atNetAddress.1.1.192.168.11.31 = Network Address: C0:A8:0B:1F
RFC1213-MIB::atNetAddress.1.1.192.168.11.253 = Network Address: C0:A8:0B:FD
RFC1213-MIB::atNetAddress.1.1.192.168.11.254 = Network Address: C0:A8:0B:FE
IP-MIB::ipForwarding.0 = INTEGER: notForwarding(2)
IP-MIB::ipDefaultTTL.0 = INTEGER: 64
IP-MIB::ipInReceives.0 = Counter32: 3233328278
IP-MIB::ipInHdrErrors.0 = Counter32: 1
IP-MIB::ipInAddrErrors.0 = Counter32: 217198
IP-MIB::ipForwDatagrams.0 = Counter32: 0
IP-MIB::ipInUnknownProtos.0 = Counter32: 285588
IP-MIB::ipInDiscards.0 = Counter32: 0
IP-MIB::ipInDelivers.0 = Counter32: 3233328335
IP-MIB::ipOutRequests.0 = Counter32: 2024260541
IP-MIB::ipOutDiscards.0 = Counter32: 0
IP-MIB::ipOutNoRoutes.0 = Counter32: 217198
IP-MIB::ipReasmTimeout.0 = INTEGER: 45 seconds
IP-MIB::ipReasmReqds.0 = Counter32: 0
IP-MIB::ipReasmOKs.0 = Counter32: 0
IP-MIB::ipReasmFails.0 = Counter32: 0
IP-MIB::ipFragOKs.0 = Counter32: 144644
IP-MIB::ipFragFails.0 = Counter32: 0
IP-MIB::ipFragCreates.0 = Counter32: 226784
IP-MIB::ipAdEntAddr.127.0.0.1 = IpAddress: 127.0.0.1
IP-MIB::ipAdEntAddr.127.0.20.1 = IpAddress: 127.0.20.1
IP-MIB::ipAdEntAddr.192.168.11.31 = IpAddress: 192.168.11.31
IP-MIB::ipAdEntIfIndex.127.0.0.1 = INTEGER: 6
IP-MIB::ipAdEntIfIndex.127.0.20.1 = INTEGER: 8
IP-MIB::ipAdEntIfIndex.192.168.11.31 = INTEGER: 9
IP-MIB::ipAdEntNetMask.127.0.0.1 = IpAddress: 255.0.0.0
IP-MIB::ipAdEntNetMask.127.0.20.1 = IpAddress: 255.0.0.0
IP-MIB::ipAdEntNetMask.192.168.11.31 = IpAddress: 255.255.255.0
IP-MIB::ipAdEntBcastAddr.127.0.0.1 = INTEGER: 1
IP-MIB::ipAdEntBcastAddr.127.0.20.1 = INTEGER: 1
IP-MIB::ipAdEntBcastAddr.192.168.11.31 = INTEGER: 1
IP-MIB::ipAdEntReasmMaxSize.127.0.0.1 = INTEGER: 0
IP-MIB::ipAdEntReasmMaxSize.127.0.20.1 = INTEGER: 0
IP-MIB::ipAdEntReasmMaxSize.192.168.11.31 = INTEGER: 0
RFC1213-MIB::ipRouteDest.0.0.0.0 = IpAddress: 0.0.0.0
RFC1213-MIB::ipRouteDest.127.0.0.0 = IpAddress: 127.0.0.0
RFC1213-MIB::ipRouteDest.127.0.0.1 = IpAddress: 127.0.0.1
