02:00:0c:33:00:04 , i-19-1831-VM , HD-WEB , 192.168.31.13 , dianzhan , 4 , 8192 , Running , false , 2013-08-05T13:40:04+0800 , 4CPU-8G-na-slow-xen , XenServer
02:00:1e:7a:00:05 , i-18-1829-VM , ERP-HCM-DEV , 172.17.0.44 , isinternal , 16 , 32768 , Running , false , 2013-08-02T18:04:11+0800 , 16CPU-32G-is-z3p1c2-na-slow , XenServer
02:00:4c:21:00:04 , i-18-1828-VM , filemanage , 172.17.0.43 , isinternal , 8 , 16384 , Running , false , 2013-08-02T17:48:58+0800 , 8CPU-16G-is-z3p1c2-na-slow , XenServer
02:00:34:5c:00:4d , i-15-1827-VM , data-transmit1 , 192.168.31.54 , gdupc , 4 , 8192 , Running , false , 2013-07-26T11:00:47+0800 , 4CPU-8G-gdupc-nfs-slow , XenServer
02:00:22:17:00:4b , i-15-1825-VM , SJZX34 , 192.168.31.156 , gdupc , 2 , 4096 , Stopped , false , 2013-07-25T17:10:07+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:53:89:00:4a , i-15-1824-VM , SJZX33 , 192.168.31.155 , gdupc , 2 , 4096 , Stopped , false , 2013-07-25T17:09:23+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:40:32:00:49 , i-15-1823-VM , SJZX32 , 192.168.31.154 , gdupc , 2 , 4096 , Stopped , false , 2013-07-25T16:26:22+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:5a:ec:00:48 , i-15-1822-VM , SJZX31 , 192.168.31.153 , gdupc , 2 , 4096 , Stopped , false , 2013-07-25T16:25:19+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:7e:21:00:47 , i-15-1821-VM , SJZX30 , 192.168.31.34 , gdupc , 2 , 4096 , Stopped , false , 2013-07-25T16:10:08+0800 , 2CPU-4G-gdupc-nfs-slow , XenServer
02:00:00:a5:00:0c , i-16-1819-VM , test01-1month , 172.17.0.38 , jituanoamis , 4 , 4096 , Running , false , 2013-07-24T14:41:48+0800 , 4CPU-4G-is-nfs-slow , XenServer
02:00:06:31:00:01 , i-19-1817-VM , HD-TREN , 192.168.31.191 , dianzhan , 2 , 4096 , Running , false , 2013-07-23T17:39:59+0800 , 2CPU-4G-NA-SLOW-XEN , XenServer
02:00:0f:c6:00:14 , i-14-1816-VM , SAPPIT , 172.17.0.34 , erp , 8 , 16384 , Running , false , 2013-07-16T12:45:43+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:2b:ab:00:13 , i-14-1815-VM , SAPPT , 172.17.0.33 , erp , 8 , 16384 , Running , false , 2013-07-16T12:32:37+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:52:80:00:12 , i-14-1814-VM , SAPERPT , 172.17.0.32 , erp , 8 , 16384 , Running , false , 2013-07-16T10:33:10+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:52:25:00:11 , i-14-1813-VM , SAPSRMT , 172.17.0.31 , erp , 8 , 16384 , Running , false , 2013-07-16T10:11:28+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:78:a0:00:10 , i-14-1812-VM , SAPPI , 172.17.0.30 , erp , 8 , 16384 , Running , false , 2013-07-15T14:23:41+0800 , 8CPU-16G-is-netapp-slow , XenServer
02:00:3f:8c:00:0d , i-14-1809-VM , saped , 172.17.0.28 , erp , 8 , 32768 , Running , false , 2013-07-11T10:51:05+0800 , 8CPU-32G-is-nfs-fast , XenServer
02:00:05:73:00:0c , i-14-1808-VM , SAPSD , 172.17.0.27 , erp , 8 , 32768 , Running , false , 2013-07-11T09:39:43+0800 , 8CPU-32G-is-nfs-fast , XenServer
