Stopped/jituanoamis;(no)jituanmis-orcal;i-16-1708-VM;sw01;172.17.0.8;offline|ping|lan
Running/jituanoamis;Jituanmis1-xs;i-16-1706-VM;sw01;172.17.0.7;lan|prod|ping
Running/gdupc;GDUPC-DBTEST;i-15-1315-VM;sw01;192.168.31.4;lan|prod|ping
Running/fengce;DIAOBINGSHAN-LOCALPRED2;i-7-1311-VM;sw01;192.168.31.127;lan|prod|ping
Running/fengce;JIAOQU-LOCALPRED;i-7-1310-VM;sw01;192.168.31.25;lan|prod|ping
Running/fengce;QINGLONG-DATA-COLLECT;i-7-1309-VM;sw01;192.168.31.169;lan|prod|ping
Stopped/fengce;QINGLONG-WEB-SERVER;i-7-1308-VM;sw01;192.168.31.168;offline|ping|lan
Running/fengce;QINGLONG-FILE-UPLOAD;i-7-1307-VM;sw01;192.168.31.167;lan|prod|ping
Running/fengce;WULIJI-LOCALPRED;i-7-1306-VM;sw01;192.168.31.161;lan|prod|ping
Running/fengce;QINGLONG-LOCALPRED;i-7-1305-VM;sw01;192.168.31.166;lan|prod|ping
Running/fengce;WULIJI-DATA-COLLECT;i-7-1304-VM;sw01;192.168.31.164;lan|prod|ping
Running/fengce;WULIJI-WEB-SERVER;i-7-1303-VM;sw01;192.168.31.163;lan|prod|ping
Running/fengce;WULIJI-FILE-UPLOAD;i-7-1302-VM;sw01;192.168.31.162;lan|prod|ping
Running/fengce;JIAOQU-DATA-COLLECT;i-7-1300-VM;sw01;192.168.31.28;lan|prod|ping
Running/fengce;JIAOQU-WEB-SERVER;i-7-1299-VM;sw01;192.168.31.27;lan|prod|ping
Running/fengce;JIAOQU-FILE-UPLOAD;i-7-1298-VM;sw01;192.168.31.26;lan|prod|ping
Running/fengce;BAOSHAN-DATA-COLLECT;i-7-1296-VM;sw01;192.168.31.23;lan|prod|ping
Stopped/fengce;BAOSHAN-WEB-SERVER;i-7-1295-VM;sw01;192.168.31.22;offline|ping|lan
Running/fengce;BAOSHAN-FILE-UPLOAD;i-7-1294-VM;sw01;192.168.31.21;lan|prod|ping
Running/fengce;BAOSHAN-LOCALPRED;i-7-1293-VM;sw01;192.168.31.20;lan|prod|ping
Running/fengce;CHONGLI-DATA-COLLECT;i-7-1292-VM;sw01;192.168.31.137;lan|prod|ping
Running/fengce;CHONGLI-WEB-SERVER;i-7-1291-VM;sw01;192.168.31.136;lan|prod|ping
